Price,Close,High,Low,Open,Volume
Ticker,HG=F,HG=F,HG=F,HG=F,HG=F
Date,,,,,
02/01/2015,2.838500023,2.842000008,2.836499929,2.842000008,220
05/01/2015,2.792999983,2.82949996,2.788000107,2.82949996,326
06/01/2015,2.803999901,2.805999994,2.791500092,2.795000076,312
07/01/2015,2.796000004,2.809000015,2.790999889,2.792000055,463
08/01/2015,2.806999922,2.817500114,2.786499977,2.796000004,242
09/01/2015,2.790499926,2.808000088,2.788000107,2.803999901,303
12/01/2015,2.763000011,2.793499947,2.745500088,2.793499947,311
13/01/2015,2.678999901,2.759500027,2.63499999,2.759500027,599
14/01/2015,2.552999973,2.648000002,2.499500036,2.648000002,328
15/01/2015,2.611000061,2.63499999,2.600500107,2.604500055,359
16/01/2015,2.654000044,2.662499905,2.585500002,2.616499901,467
20/01/2015,2.615499973,2.623500109,2.603499889,2.623500109,593
21/01/2015,2.61500001,2.634500027,2.58100009,2.58100009,508
22/01/2015,2.600500107,2.612499952,2.578999996,2.604500055,180
23/01/2015,2.537499905,2.568000078,2.53399992,2.559999943,216
26/01/2015,2.573499918,2.57949996,2.493000031,2.503999949,182
27/01/2015,2.513499975,2.57249999,2.480499983,2.57249999,314
28/01/2015,2.521500111,2.546499968,2.503000021,2.519999981,527
29/01/2015,2.470499992,2.487999916,2.430000067,2.478499889,572
30/01/2015,2.528000116,2.539499998,2.464999914,2.464999914,309
02/02/2015,2.510999918,2.546000004,2.507499933,2.50999999,403
03/02/2015,2.599999905,2.612499952,2.565000057,2.585000038,281
04/02/2015,2.611999989,2.617000103,2.586999893,2.602999926,374
05/02/2015,2.611999989,2.627000093,2.560499907,2.588999987,229
06/02/2015,2.602999926,2.607000113,2.587500095,2.602499962,211
09/02/2015,2.598999977,2.602499962,2.578000069,2.588000059,305
10/02/2015,2.5625,2.589999914,2.548500061,2.589999914,301
11/02/2015,2.55250001,2.581500053,2.552000046,2.558000088,225
12/02/2015,2.608999968,2.622499943,2.588999987,2.599999905,348
13/02/2015,2.613500118,2.629499912,2.60800004,2.626499891,242
17/02/2015,2.594500065,2.625,2.568500042,2.609999895,332
18/02/2015,2.639499903,2.641499996,2.618999958,2.621500015,308
19/02/2015,2.641499996,2.642499924,2.603499889,2.619499922,233
20/02/2015,2.610500097,2.632999897,2.603499889,2.625999928,235
23/02/2015,2.639499903,2.650000095,2.605000019,2.610500097,309
24/02/2015,2.711499929,2.716500044,2.650000095,2.650000095,1028
25/02/2015,2.707499981,2.707499981,2.661999941,2.665999889,37221
26/02/2015,2.713999987,2.732500076,2.655999899,2.661000013,14109
27/02/2015,2.71600008,2.724999905,2.686000109,2.72149992,2710
02/03/2015,2.710999966,2.743999958,2.700999975,2.730000019,1221
03/03/2015,2.673500061,2.704999924,2.650000095,2.704999924,1083
04/03/2015,2.677000046,2.684000015,2.663500071,2.671999931,625
05/03/2015,2.671999931,2.693000078,2.667500019,2.683000088,567
06/03/2015,2.628999949,2.671999931,2.624000072,2.667000055,803
